street;city;zip;state;beds;baths;sq__ft;type;sale_date;price;latitude;longitude
3526 HIGH ST;SACRAMENTO;95838;CA;2;1;836;Residential;1943-01-09 11:56:01;59222;38.631913;-121.434879
51 OMAHA CT;sacramento;95823;CA;3;1;1167;Residential;1996-11-08 23:09:38;68212;38.478902;-121.431028
2796 BRANCH ST;SACRAMENTO;95815;CA;2;1;796;Residential;1915-01-05 07:31:45;68880;38.618305;-121.443839
2805 JANETTE WAY;SACRAMENTO;95815;CA;2;1;852;Residential;1998-10-22 04:46:05;69307;38.616835;-121.439146
6001 MCMAHON DR;SACRAMENTO;95824;CA;2;1;797;Residential;1972-01-05 20:52:32;81900;38.51947;-121.435768
5828 PEPPERMILL CT;SACRAMENTO;95841;CA;3;1;1122;Condo;1918-01-13 23:10:18;89921;38.662595;-121.327813
6048 OGDEN NASH WAY;SACRAMENTO;95842;CA;3;2;1104;Residential;1949-06-16 12:35:50;90895;38.681659;-121.351705
2561 19TH AVE;SACRAMENTO;95820;CA;3;1;1177;Residential;1971-01-31 00:55:56;91002;38.535092;-121.481367
11150 TRINITY RIVER DR Unit 114;RANCHO CORDOVA;95670;CA;2;2;941;Condo;1955-12-30 14:44:20;94905;38.621188;-121.270555
7325 10TH ST;RIO LINDA;95673;CA;3;2;1146;Residential;1977-06-03 09:55:18;98937;38.700909;-121.442979
645 MORRISON AVE$;SACRAMENTO;95838;CA;3;2;909;Residential;1925-06-26 16:17:09;100309;38.637663;-121.45152
4085 FAWN CIR;SACRAMENTO;95823;CA;3;2;1289;Residential;1995-09-07 23:00:02;106250;38.470746;-121.458918
2930 LA ROSA RD;SACRAMENTO;95815;CA;1;1;871;Residential;1968-05-01 08:11:15;106852;38.618698;-121.435833
2113 KIRK WAY;SACRAMENTO;95822;CA;3;1;1020;Residential;1948-12-25 14:08:59;107502;38.482215;-121.492603
4533 LOCH HAVEN WAY;SACRAMENTO;95842;CA;2;2;1022;Residential;1942-10-05 21:38:08;108750;38.672914;-121.35934
7340 HAMDEN PL;SACRAMENTO;95842;CA;2;2;1134;Condo;1985-06-21 16:38:00;110700;38.700051;-121.351278
6715 6TH ST;RIO LINDA;95673;CA;2;1;844;Residential;1981-01-22 07:27:52;113263;38.689591;-121.452239
6236 LONGFORD DR Unit 1;CITRUS HEIGHTS;95621;CA;2;1;795;Condo;1963-03-14 21:26:25;116250;38.679776;-121.314089
250 PERALTA AVE;SACRAMENTO;95833;CA;2;1;588;Residential;1998-12-24 21:57:11;120000;38.612099;-121.469095
113 LEEWILL AVE;RIO LINDA;95673;CA;3;2;1356;Residential;1985-12-30 21:20:20;121630;38.689999;-121.46322
6118 STONEHAND AVE;CITRUS HEIGHTS;95621;CA;3;2;1118;Residential;1913-12-24 07:55:27;122000;38.707851;-121.320707
4882 BANDALIN WAY;SACRAMENTO;95823;CA;4;2;1329;Residential;1946-04-07 08:02:02;122682;38.468173;-121.444071
7511 OAKVALE CT;NORTH HIGHLANDS;95660;CA;4;2;1240;Residential;1968-07-26 21:16:14;123000;38.702792;-121.38221
9 PASTURE CT;SACRAMENTO;95834;CA;3;2;1601;Residential;1953-04-26 19:59:44;124100;38.628631;-121.488097
3729 BAINBRIDGE DR;NORTH HIGHLANDS;95660;CA;3;2;901;Residential;1927-08-30 09:58:54;125000;38.701499;-121.37622
3828 BLACKFOOT WAY;ANTELOPE;95843;CA;3;2;1088;Residential;1959-09-04 05:19:47;126640;38.70974;-121.37377
4108 NORTON WAY;SACRAMENTO;95820;CA;3;1;963;Residential;1955-08-15 05:31:27;127281;38.537526;-121.478315
1469 JANRICK AVE;SACRAMENTO;95832;CA;3;2;1119;Residential;2004-02-17 17:48:24;129000;38.476472;-121.501711
9861 CULP WAY;SACRAMENTO@;95827;CA;4;2;1380;Residential;1926-03-31 15:12:55;131200;38.558423;-121.327948
7825 CREEK VALLEY CIR;SACRAMENTO;95828;CA;3;2;1248;Residential;1941-01-04 13:54:15;132000;38.472122;-121.404199
5201 LAGUNA OAKS DR Unit 140;ELK GROVE;957f58;CA;2;2;1039;Condo;1995-06-27 11:07:11;133000;38.423251;-121.444489
6768 MEDORA DR;NORTH HIGHLANDS;95660;CA;3;2;1152;Residential;1920-01-29 04:39:27;134555;38.691161;-121.37192
3100 EXPLORER DR;SACRAMENTO;95827;CA;3;2;1380;Residential;1901-09-10 05:05:36;136500;38.566663;-121.332644
7944 DOMINION WAY;ELVERTA;95626;CA;3;2;1116;Residential;2007-06-28 10:41:49;138750;38.713182;-121.411227
5201 LAGUNA OAKS DR Unit 162;ELK GROVE;95758;CA;2;2;1039;Condo;1995-02-14 02:55:54;141000;38.423251;-121.444489
3920 SHINING STAR DR;SACRAMENTO;95823;CA;3;2;1418;Residential;2019-05-27 07:28:26;146250;38.48742;-121.462459
5031 CORVAIR ST;NORTH HIGHLANDS;95660;CA;3;2;1082;Residential;1946-01-18 15:51:51;147308;38.658246;-121.375469
7661 NIXOS WAY;SACRAMENTO;95823;CA;4;2;1472;Residential;1922-02-25 05:00:45;148750;38.479553;-121.463317
7044 CARTHY WAY;SACRAMENTO;95828;CA;4;2;1146;Residential;1940-05-29 01:05:28;149593;38.49857;-121.420925
2442 LARKSPUR LN;SACRAMENTO;95825;CA;1;1;760;Condo;1931-10-22 14:29:12;150000;38.58514;-121.403736
4800 WESTLAKE PKWY Unit 2109;SACRAMENTO;95835;CA;2;2;1304;Condo;1922-07-20 07:12:41;152000;38.658812;-121.542345
2178 63RD AVE;SACRAMENTO;95822;CA;3;2;1207;Residential;1971-07-17 18:43:51;154000;38.493955;-121.48966
8718 ELK WAY;ELK GROVE;95624;CA;3;2;1056;Residential;1964-12-06 07:32:56;156896;38.41653;-121.379653
5708 RIDGEPOINT DR;ANTELOPE;95843;CA;2;2;1043;Residential;1949-02-18 14:50:47;161250;38.72027;-121.331555
7315 KOALA CT;NORTH HIGHLANDS;95660;CA;4;2;1587;Residential;2013-03-02 02:02:12;161500;38.699251;-121.371414
2622 ERIN DR;SACRAMENTO;95833;CA;4;1;1120;Residential;2013-02-08 04:13:43;164000;38.613765;-121.488694
8421 SUNBLAZE WAY;SACRAMENTO;95823;CA;4;2;1580;Residential%;1938-08-04 17:02:57;165000;38.450543;-121.432538
7420 ALIX PKWY;SACRAMENTO;95823;CA;4;1;1955;Residential;1988-11-24 08:30:25;166357;38.489405;-121.452811
3820 NATOMA WAY;SACRAMENTO;95838;CA;4;2;1656;Residential;1969-09-19 03:02:11;166357;38.636748;-121.422159
4431 GREEN TREE DR;SACRAMENTO;95823;CA;3;2;1477;Residential;1972-08-09 17:57:46;168000;38.499954;-121.454469
9417 SARA ST;ELK GROVE;95624;CA;3;2;1188;Residential;1913-11-26 14:12:17;170000;38.415518;-121.370527
8299 HALBRITE WAY;SACRAMENTO;95828;CA;4;2;1590;Residential;1906-07-31 16:32:30;173000;38.473814;-121.4
7223 KALLIE KAY LN;SACRAMENTO;95823;CA;3;2;1463;Residential;1907-06-29 13:50:01;174250;38.477553;-121.419463
8156 STEINBECK WAY;SACRAMENTO;95828;CA;4;2;1714;Residential;1972-08-28 12:41:26;174313;38.474853;-121.406326
7957 VALLEY GREEN DR;SACRAMENTO;95823;CA;3;2;1185;Residential;1975-09-24 22:12:57;178480;38.465184;-121.434925
1122 WILD POPPY CT;GALT;95632;CA;3;2;1406;Residential;1903-12-24 19:47:49;178760;38.287789;-121.294715
4520 BOMARK WAY;SACRAMENTO;95842;CA;4;2;1943;Multi-Family;1923-09-30 03:05:24;179580;38.665724;-121.358576
9012 KIEFER BLVD;SACRAMENTO;95826;CA;3;2;1172;Residential;1933-06-13 11:39:16;181000;38.547011;-121.366217
5332 SANDSTONE ST;CARMICHAEL;95608;CA;3;1;1152;Residential;1974-07-24 23:24:47;181872;38.662105;-121.313945
5993 SAWYER CIR;SACRAMENTO;95823;CA;4;3;1851;Residential;1970-10-22 11:24:31;182587;38.4473;-121.435218
4844 CLYDEBANK WAY;ANTELOPE;95843;CA;3;2;1215;Residential;1957-01-18 05:03:56;182716;38.714609;-121.347887
306 CAMELLIA WAY;GALT;95632;CA;3;2;1130;Residential;1916-05-27 03:40:40;182750;38.260443;-121.297864
9021 MADISON AVE;ORANGEVALE;95662;CA;4;2;1603;Residential;1926-02-27 00:14:42;183200;38.664186;-121.217511
404 6TH ST;GALT;95632;CA;3;1;1479;Residential;1985-03-02 08:25:27;188741;38.251808;-121.302493
8317 SUNNY CREEK WAY;SACRAMENTO;95823;CA;3;2;1420;Residential;1915-03-17 01:49:40;189000;38.459041;-121.424644
2617 BASS CT;SACRAMENTO;95826;CA;3;2;1280;Residen_tial;1993-11-05 17:30:54;192067;38.560767;-121.377471
7005 TIANT % WAY;ELK GROVE;95758;CA;3;2;1586;Residential;1911-11-05 06:37:27;194000;38.422811;-121.423285
7895 CABER WAY;ANTELOPE;95843;CA;3;2;1362;Residential;2010-01-08 11:21:50;194818;38.711279;-121.393449
7624 BOGEY CT;SACRAMENTO;95828;CA;4;4;2162;Multi-Family;2002-09-29 22:46:40;195000;38.48009;-121.415102
6930 HAMPTON COVE WAY;SACRAMENTO;95823;CA;3;2;1266;Residential;1999-05-22 19:42:16;198000;38.44004;-121.421012
8708 MESA BROOK WAY;ELK GROVE;95624;CA;4;2;1715;Residential;1932-11-28 22:41:08;199500;38.44076;-121.385792
120 GRANT LN;FOLSOM;95630;CA;3;2;1820;Residential;1936-09-15 15:54:55;200000;38.687742;-121.17104
5907 ELLERSLEE DR;CARMICHAEL;95608;CA;3;1;936;Residential;1901-06-26 06:07:10;200000;38.664468;-121.32683
17 SERASPI CT;SACRAMENTO;95834;CA;0;0;0;Residential;1908-10-31 04:33:25;206000;38.631481;-121.50188
170 PENHOW CIR;SACRAMENTO;95834;CA;3;2;1511;Residential;1987-03-25 14:10:16;208000;38.653439;-121.535169
8345 STAR THISTLE WAY;SACRAMENTO;95823;CA;4;2;1590;Residential;1939-09-13 09:05:54;212864;38.454349;-121.439239
9080 FRESCA WAY;ELK GROVE<>;95758;CA;4;2;1596;Residential;1930-05-01 00:31:07;221000;38.427818;-121.424026
391 NATALINO CIR;SACRAMENTO;95835;CA;2;2;1341;Residential;1976-06-04 15:13:29;221000;38.67307;-121.506373
8373 BLACKMAN WAY;ELK GROVE;95624;CA;5;3;2136;Residential;1931-05-27 16:03:07;223058;38.435436;-121.394536
9837 CORTE DORADO CT;ELK GROVE;95624;CA;4;2;1616;Residential;2005-05-25 14:28:54;227887;38.400676;-121.38101
5037 J PKWY;SACRAMENTO;95823;CA3;3;2;1478;Residential;2015-03-08 04:29:58;231477;38.491399;-121.443547
10245 LOS PALOS DR;RANCHO CORDOVA;95670;CA;3;2;1287;Residential;1984-02-28 16:57:14;234697;38.593699;-121.31089
6613 NAVION DR;CITRUS HEIGHTS;95621;CA;4;2;1277;Residential;1997-01-17 20:01:30;235000;38.702855;-121.31308
2887 AZEVEDO DR;SACRAMENTO;95833;CA;4;2;1448;Residential;1968-02-24 18:46:58;236000;38.618457;-121.509439
9186 KINBRACE CT;SACRAMENTO;95829;CA;4;3;2235;Residential;1929-09-09 10:58:46;236685;38.463355;-121.358936
4243 MIDDLEBURY WAY;MATHER;95655;CA;3;2;2093;Residential;1905-11-11 12:44:56;237800;38.547991;-121.280483
1028 FALLON PLACE CT;RIO LINDA;95673;CA;3;2;1193;Residential;1945-01-26 01:20:40;240122;38.693818;-121.441153
4804 NORIKER DR;ELK GROVE;95757;CA;3;2;2163;Residential;1928-02-29 23:05:24;242638;38.400974;-121.448424
7713 HARVEST WOODS DR;SACRAMENTO;95828;CA;3;2;1269;Residential;1958-11-28 19:04:03;244000;38.478198;-121.412911
2866 KARITSA AVE;SACRAMENTO;95833;CA;0;0;0;Residential;1960-08-12 12:39:39;244500;38.626671;-121.52597
6913 RICHEVE WAY;SACRAMENTO;95828;CA;3;1;958;Residential;2001-03-22 18:02:49;244960;38.502519;-121.420769
8636 TEGEA WAY;ELK GROVE;95624;CA;5;3;2508;Residential;1900-02-21 07:42:11;245918;38.443832;-121.382087
5448 MAIDSTONE WAY;CITRUS HEIGHTS;95621;CA;3;2;1305;Residential;1954-10-25 11:21:06;250000;38.665395;-121.293288
18 OLLIE CT;ELK GROVE;95758;CA;4;2;1591;Residential;1963-11-28 07:41:43;250000;38.444909;-121.412345
4010 ALEX LN;CARMICHAEL;95608;CA;2;2;1326;Condo;2017-01-22 19:02:54;250134;38.637028;-121.312963
4901 MILLNER WAY;ELK GROVE;95757;CA;3;2;1843;Residential;2001-01-15 04:28:24;254200;38.38692;-121.447349
4818 BRITTNEY LEE CT;SACRAMENTO;95841;CA;4;2;1921;Residential;2015-09-21 10:57:15;254200;38.653917;-121.34218
5529 LAGUNA PARK DR;ELK GROVE;95758;CA;5;3;2790;Residential;1927-09-07 16:15:40;258000;38.42568;-121.438062
230 CANDELA CIR;SACRAMENTO;95835;CA-;3;2;1541;Residential;1972-09-25 06:43:13;260000;38.656251;-121.547572
4900 71ST ST;SACRAMENTO;95820;CA;3;1;1018;Residential;1902-02-11 20:01:07;260014;38.53151;-121.421089
12209 CONSERVANCY WAY;RANCHO CORDOVA;95742;CA;0;0;0;Residential;1968-07-05 09:29:38;263500;38.553867;-121.219141
4236 NATOMAS CENTRAL DR;SACRAMENTO;95834;CA;3;2;1672;Condo;1925-05-01 10:52:27;265000;38.648879;-121.544023
5615 LUPIN LN;POLLOCK PINES;95726;CA;3;2;1380;Residential;1920-10-25 18:01:42;265000;38.708315;-120.603872
5625 JAMES WAY;SACRAMENTO;95822;CA;3;1;975;Residential;1921-08-15 08:03:36;271742;38.523947;-121.484946
7842 LAHONTAN CT;SACRAMENTO;95829;CA;4;3;2372;Residential;1921-01-06 17:08:04;273750;38.472976;-121.318633
6850 21ST ST;SACRAMENTO;95822;CA;3;2;1446;Residential;2009-07-28 04:33:16;275086;38.502194;-121.490795
2900 BLAIR RD;POLLOCK PINES;95726;CA;2;2;1284;Residential;1979-05-02 19:01:00;280908;38.75485;-120.60476
2064 EXPEDITION WAY;SACRAMENTO;95832;CA;4;3;3009;Residential;1911-02-13 17:14:44;280987;38.474099;-121.490711
2912 NORCADE CIR;SACRAMENTO;95826;CA;8;4;3612;Multi-Family;2000-07-17 06:06:41;282400;38.559505;-121.364839
9507 SEA CLIFF WAY;ELK GROVE;95758;CA;4;2;2056;Residential;1929-08-05 19:39:21;285000;38.410992C;-121.479043
8882 AUTUMN GOLD CT;ELK GROVE;95624;CA;4;2;1993;Residential;1942-05-24 22:44:14;287417;38.4439;-121.37255
5322 WHITE LOTUS WAY;ELK GROVE;95757;CA;3;2;1857;Residential;1988-11-09 08:49:19;291000;38.391538;-121.442596
1838 CASTRO WAY;SACRAMENTO;95818;CA;2;1;1126;Residential;1901-02-16 20:50:55;292024;38.556098;-121.490787
10158 CRAWFORD WAY;SACRAMENTO;95827;CA;4;4;2213;Multi-Family;1953-04-21 02:32:12;297000;38.5703;-121.315735
7731 MASTERS ST;ELK GROVE;95758;CA;5;3;2494;Residential);1985-10-01 01:57:47;297000;38.442031;-121.410873
4925 PERCHERON DR;ELK GROVE;95757;CA;3;2;1843;Residential;1917-07-24 08:12:24%;298000D;38.40154;-121.447649
2010 PROMONTORY POINT LN;GOLD RIVER;95670;CA;2;2;1520;Residential;1961-08-30 13:40:27;299000;38.62869;-121.261669
4727 SAVOIE WAY;SACRAMENTO;95835;CA;5;3;2800;Residential;1957-06-16 20:16:02;304037;38.658182;-121.549521
8664 MAGNOLIA HILL WAY;ELK GROVE;95624;CA;4;2;2309;Residential;1957-12-20 22:54:03;311000;38.442352;-121.389675
9570 HARVEST ROSE WAY;SACRAMENTO;95827;CA;5;3;2367;Residential;1912-03-14 13:30:21;315537;38.555993;-121.340352
4359 CREGAN CT;RANCHO CORDOVA;95742;CA;5;4;3516;Residential;1933-04-03 11:00:57;320000;38.545128;-121.224922
5337 DUSTY ROSE WAY;RANCHO CORDOVA;95742;CA;0;0;0;Residential;1946-07-06 02:50:06;320000;38.528575;-121.2286RT
8929 SUTTERS GOLD DR;SACRAMENTO;95826;CA;4;3;1914;Residential;1934-07-12 03:23:41;328360;38.550848;-121.370224
8025 PEERLESS AVE;ORANGEVALE;95662;CA;2;1;1690;Residential;2015-01-24 09:01:57;334150;38.71147;-121.216214
4620 WELERA WAY;ELK GROVE;95757;CA;3;3;2725;Residential;1990-11-03 15:40:32;335750;38.398609;-121.450148
9723 TERRAPIN CT;ELK GROVE;95757;CA;4;3;2354;Residential;1934-06-15 06:12:22;335750;38.403492;-121.430224
2115 SMOKESTACK WAY;SACRAMENTO;95833;CA;0;0;0;Residential;1960-10-23 19:40:58;339500;38.602416;-121.542965
100 REBECCA WAY;FOLSOM;95630;CA;3;2;2185;Residential;1923-07-19 12:45:01;344250;38.68479;-121.149199
9488 OAK VILLAGE WAY;ELK GROVE;95758;CA;4;2;1801;Residential;1948-11-21 03:03:38;346210;38.41333;-121.404999
8495 DARTFORD DR;SACRAMENTO;95823;CA;3;3;1961;Residential;1975-08-04 11:09:32;347029;38.448507;-121.421346
6708 PONTA DO SOL WAY;ELK GROVE;95757;CA;4;2;3134;Residential;2019-03-06 04:23:15;347650;38.380635;-121.425538
4143 SEA MEADOW WAY;SACRAMENTO;95823;CA;4;3;1915;Residential;1907-04-29 01:40:54;351300;38.46534;-121.457519
3020 RICHARDSON CIR;EL DORADO HILLS;95762;CA;3;2;0;Residential;1963-10-06 09:31:32;352000;38.691299;-121.081752
8082 LINDA ISLE LN;SACRAMENTO;95831;CA;0;0;0;Residential;1941-09-09 01:01:27;370000;38.4772;-121.5215
15300 MURIETA SOUTH PKWY;RANCHO MURIETA;95683;CA;4;3;2734;Residential;2001-08-28 02:13:31;370500;38.4874;-121.075129
11215 SHARRMONT CT;WILTON;95693;CA;3;2;2110;Residential;1961-05-10 18:50:47;372000;38.35062;-121.228349
7105 DANBERG WAY;ELK GROVE;95757;CA;5;3;3164;Residential;1977-12-28 17:16:30;375000;38.4019;-121.420388
5579 JERRY LITELL WAY;SACRAMENTO;95835;CA;5;3;3599;Residential;1951-03-14 17:04:33;381300;38.677126;-121.500519
1050 FOXHALL WAY;SACRAMENTO;95831;CA;4;2;2054;Residential;1994-02-13 19:31:49;381942;38.509819;-121.519661
7837 ABBINGTON WAY;ANTELOPE;95843;CA;4;2;1830;Residential;1928-03-16 23:36:37;387731;38.709873;-121.339472
1300 F ST;SACRAMENTO;95814;CA;3;3;1627;Residential;1947-08-21 02:35:41;391000;38.58355;-121.487289
6801 RAWLEY WAY;ELK GROVE;95757;CA;4;3;3440;Residential;1933-12-22 12:52:08;394470;38.408351;-121.423925
1693 SHELTER COVE DR;GREENWOOD;95635;CA;3;2;2846;Residential;1947-06-21 04:19:11;395000;38.945357;-120.908822
9361 WADDELL LN;ELK GROVE;95624;CA;4;3;2359;Residential;1912-01-22 12:53:05;400186;38.450829;-121.349928
10 SEA FOAM CT;SACRAMENTO;95831;CA;3;3;2052;Residential;1910-03-16 07:23:35;415000;38.487885;-121.545947
6945 RIO TEJO WAY;ELK GROVE;95757;CA;5;3;3433;Residential;1957-10-20 22:46:23;425000;38.385638;-121.422616
4186 TULIP PARK WAY;RANCHO CORDOVA;95742;CA;5;3;3615;Residential;1933-06-06 19:39:22;430000;38.550617;-121.23526
9278 DAIRY CT;ELK GROVE;95624;CA;0;0;0;Residential;1990-01-15 11:14:19;445000;38.420338;-121.363757$
207 ORANGE BLOSSOM CIR Unit C;FOLSOM;95630;CA;5;3;2687;Residential;1914-06-19 05:42:41;460000;38.646273;-121.175322
6507 RIO DE ONAR WAY;ELK GROVE;95757;CA;4;3;2724;Residential;1973-01-16 02:17:37;461000;38.38253;-121.428007
7004 RAWLEY WAY;ELK GROVE;95757;CA;4;3;3440;Residential;1999-10-08 19:55:52;489332;38.406421;-121.422081
6503 RIO DE ONAR WAY;ELK GROVE;95757;CA;5;4;3508;Residential;2013-12-19 04:05:22A;510000;38.38253;-121.428038
2217 APPALOOSA CT;FOLSOM;95630;CA;4;2;2462;Residential;1936-05-25 18:40:14;539000;38.655167;-121.090178
868 HILDEBRAND CIR;FOLSOM;95630;CA;0;0;0;Residential;1915-10-30 23:25:32;585000;38.670947;-121.097727
6030 PALERMO WAY;EL DORADO HILLS;95762;CA;4;3;0;Residential;2001-07-11 08:59:37;600000;38.672761;-121.050378
4070 REDONDO DR;EL DORADO HILLS;95762;CA;4;3;0;Residential;1926-05-28 05:07:49;606238;38.666807;-121.06483
4004 CRESTA WAY;SACRAMENTO;95864;CA;3;3;2325;Residential;1919-07-03 08:51:27;660000;38.591618;-121.370626
315 JUMEL CT;EL DORADO HILLS;95762;CA;6;5;0;Residential;1937-11-24 19:41:29;830000;38.669931;-121.05958
6272 LONGFORD DR Unit 1;CITRUS HEIGHTS;95621;CA;2;1;795;Condo;1918-02-25 20:36:13&;69000;38.680923;-121.313945
3432 Y ST;SACRAMENTO;95817;CA;4;2;1099;Residential;1974-03-27 00:04:51;70000;38.554967;-121.468046
9512 EMERALD PARK DR Unit 3;ELK GROVE;95624;CA;2;1;840;Condo;1969-11-28 06:47:20;71000;38.40573;-121.369832
3132 CLAY ST;SACRAMENTO;95815;CA;2;1;800;Residential;1973-11-25 16:17:08;78000;38.624678;-121.439203
5221 38TH AVE;SACRAMENTO;95824;CA;2;1;746;Residential;2007-02-10 05:44:24;78400;38.518044;-121.443555
6112 HERMOSA ST;SACRAMENTO;95822;CA;3;1;1067;Residential;1933-05-03 08:05:37;80000;38.515125;-121.480416
483 ARCADE BLVD;SACRAMENTO;95815;CA;4;2;1316;Residential;1965-07-31 19:37:43;89000;38.623571;-121.454884
671 SONOMA AVE;SACRAMENTO;95815;CA;3;1;1337;Residential;2002-02-24 04:50:19;90000;38.622953;-121.450142
5980 79TH ST;SACRAMENTO;95824;CA;2;1;868;Residential;1922-05-02 16:05:18;90000;38.518373;-121.411779
7607 ELDER CREEK RD;SACRAMENTO;95824;CA;3;1;924;Residential;1905-07-31 11:21:57;92000;38.51055;-121.414768
5028 14TH AVE;SACRAMENTO;95820;CA;2;1;610;Residential;1976-09-03 21:41:46;93675;38.53942;-121.446894
14788 NATCHEZ CT;RANCHO MURIETA;95683;CA;0;0;0;Residential;1995-05-12 21:14:06;97750;38.492287;-121.100032
1069 ACACIA AVE;SACRAMENTO;95815;CA;2;1;1220;Residential;1971-02-26 23:30:07;98000;38.621998;-121.442238
5201 LAGUNA OAKS DR Unit 199;ELK GROVE;95758;CA;1;1;722;Condo;1911-04-06 08:51:20;98000;38.423251;-121.444489
3847 LAS PASAS WAY;SACRAMENTO;95864;CA;3;1;1643;Residential;1905-08-05 09:02:39;99000;38.588672;-121.373916
5201 LAGUNA OAKS DR Unit 172;ELK GROVE;95758;CA;1;1;722;Condo;1988-07-28 09:27:38;100000;38.423251;-121.444489
1121 CREEKSIDE WAY;GALT;95632;CA;3;1;1080;Residential;1966-07-06 06:37:49;106716;38.241514;-121.312199
5307 CABRILLO WAY;SACRAMENTO;95820;CA;3;1;1039;Residential;1969-02-17 12:13:31;111000;38.52712;-121.435348
3725 DON JULIO BLVD;NORTH HIGHLANDS;95660;CA;3;1;1051;Residential;1940-06-18 05:32:18;111000;38.67895;-121.379406
4803 MCCLOUD DR;SACRAMENTO;95842;CA;2;2;967;Residential;1981-08-03 03:44:59;114800;38.682279;-121.352817
10542 SILVERWOOD WAY;RANCHO CORDOVA;95670;CA;3;1;1098;Residential;1982-01-23 10:42:03;120108;38.587156;-121.295778
6318 39TH AVE;SACRAMENTO;95824;CA;3;1;1050;Residential;1940-01-23 08:48:42;123225;38.518942;-121.430158
211 MCDANIEL CIR;SACRAMENTO;95838;CA;3;2;1110;Residential;1909-02-04 03:40:45;123750;38.636565;-121.460383
3800 LYNHURST WAY;NORTH HIGHLANDS;95660;CA;3;1;888;Residential;1912-08-05 03:21:33;125000;38.650445;-121.374861
6139 HERMOSA ST;SACRAMENTO;95822;CA;3;2;1120;Residential;1901-04-29 15:21:17;125000;38.514665;-121.480411
2505 RHINE WAY;ELVERTA;95626;CA;3;2;1080;Residential;1999-09-25 10:00:07;126000;38.717976;-121.407684
3692 PAYNE WAY;NORTH HIGHLANDS;95660;CA;3;1;957;Residential;2001-07-23 13:27:21;129000;38.66654;-121.378298
604 MORRISON AVE;SACRAMENTO;95838;CA;2;1;952;Residential;1987-10-10 17:58:09;134000;38.637678;-121.452476
648 SANTA ANA AVE;SACRAMENTO;95838;CA;3;2;1211;Residential;1935-10-19 22:30:07;135000;38.658478;-121.450409
14 ASHLEY OAKS CT;SACRAMENTO;95815;CA;3;2;1264;Residential;1976-02-26 09:43:23;135500;38.61779;-121.436765
3174 NORTHVIEW DR__;SACRAMENTO;95833;CA;3;1;1080;Residential;1941-07-15 20:35:00;140000;38.623817;-121.477827
