street,city,zip,state,beds,baths,sq__ft,type,sale_date,price,latitude,longitude
3526 High St,Sacramento,95838,CA,2.0,1.0,836.0,Residential,1943-01-09 11:56:01,59222,38.631913,-121.43487900000001
51 Omaha Ct,Sacramento,95823,CA,3.0,1.0,1167.0,Residential,1996-11-08 23:09:38,68212,38.478902000000005,-121.431028
2796 Branch St,Sacramento,95815,CA,2.0,1.0,796.0,Residential,1915-01-05 07:31:45,68880,38.618305,-121.44383899999998
2805 Janette Way,Sacramento,95815,CA,2.0,1.0,852.0,Residential,1998-10-22 04:46:05,69307,38.616834999999995,-121.439146
6001 Mcmahon Dr,Sacramento,95824,CA,2.0,1.0,797.0,Residential,1972-01-05 20:52:32,81900,38.51947,-121.435768
5828 Peppermill Ct,Sacramento,95841,CA,3.0,1.0,1122.0,Condo,1918-01-13 23:10:18,89921,38.662595,-121.32781299999999
6048 Ogden Nash Way,Sacramento,95842,CA,3.0,2.0,1104.0,Residential,1949-06-16 12:35:50,90895,38.681659,-121.35170500000001
2561 19Th Ave,Sacramento,95820,CA,3.0,1.0,1177.0,Residential,1971-01-31 00:55:56,91002,38.535092,-121.48136699999999
11150 Trinity River Dr Unit 114,Rancho Cordova,95670,CA,2.0,2.0,941.0,Condo,1955-12-30 14:44:20,94905,38.621188000000004,-121.270555
7325 10Th St,Rio Linda,95673,CA,3.0,2.0,1146.0,Residential,1977-06-03 09:55:18,98937,38.700909,-121.44297900000001
645 Morrison Ave,Sacramento,95838,CA,3.0,2.0,909.0,Residential,1925-06-26 16:17:09,100309,38.637663,-121.45152
4085 Fawn Cir,Sacramento,95823,CA,3.0,2.0,1289.0,Residential,1995-09-07 23:00:02,106250,38.470746000000005,-121.458918
2930 La Rosa Rd,Sacramento,95815,CA,1.0,1.0,871.0,Residential,1968-05-01 08:11:15,106852,38.618697999999995,-121.435833
2113 Kirk Way,Sacramento,95822,CA,3.0,1.0,1020.0,Residential,1948-12-25 14:08:59,107502,38.482215000000004,-121.492603
4533 Loch Haven Way,Sacramento,95842,CA,2.0,2.0,1022.0,Residential,1942-10-05 21:38:08,108750,38.672914,-121.35933999999999
7340 Hamden Pl,Sacramento,95842,CA,2.0,2.0,1134.0,Condo,1985-06-21 16:38:00,110700,38.700051,-121.35127800000001
6715 6Th St,Rio Linda,95673,CA,2.0,1.0,844.0,Residential,1981-01-22 07:27:52,113263,38.689591,-121.45223899999999
6236 Longford Dr Unit 1,Citrus Heights,95621,CA,2.0,1.0,795.0,Condo,1963-03-14 21:26:25,116250,38.679776000000004,-121.314089
250 Peralta Ave,Sacramento,95833,CA,2.0,1.0,588.0,Residential,1998-12-24 21:57:11,120000,38.612099,-121.469095
113 Leewill Ave,Rio Linda,95673,CA,3.0,2.0,1356.0,Residential,1985-12-30 21:20:20,121630,38.689999,-121.46321999999999
6118 Stonehand Ave,Citrus Heights,95621,CA,3.0,2.0,1118.0,Residential,1913-12-24 07:55:27,122000,38.707851,-121.32070700000001
4882 Bandalin Way,Sacramento,95823,CA,4.0,2.0,1329.0,Residential,1946-04-07 08:02:02,122682,38.468173,-121.444071
7511 Oakvale Ct,North Highlands,95660,CA,4.0,2.0,1240.0,Residential,1968-07-26 21:16:14,123000,38.702791999999995,-121.38221000000001
9 Pasture Ct,Sacramento,95834,CA,3.0,2.0,1601.0,Residential,1953-04-26 19:59:44,124100,38.628631,-121.488097
3729 Bainbridge Dr,North Highlands,95660,CA,3.0,2.0,901.0,Residential,1927-08-30 09:58:54,125000,38.701499,-121.37621999999999
3828 Blackfoot Way,Antelope,95843,CA,3.0,2.0,1088.0,Residential,1959-09-04 05:19:47,126640,38.709740000000004,-121.37377
4108 Norton Way,Sacramento,95820,CA,3.0,1.0,963.0,Residential,1955-08-15 05:31:27,127281,38.537526,-121.478315
1469 Janrick Ave,Sacramento,95832,CA,3.0,2.0,1119.0,Residential,2004-02-17 17:48:24,129000,38.476471999999994,-121.50171100000001
9861 Culp Way,Sacramento,95827,CA,4.0,2.0,1380.0,Residential,1926-03-31 15:12:55,131200,38.558423,-121.32794799999999
7825 Creek Valley Cir,Sacramento,95828,CA,3.0,2.0,1248.0,Residential,1941-01-04 13:54:15,132000,38.472122,-121.404199
5201 Laguna Oaks Dr Unit 140,Elk Grove,95758,CA,2.0,2.0,1039.0,Condo,1995-06-27 11:07:11,133000,38.423251,-121.44448899999999
6768 Medora Dr,North Highlands,95660,CA,3.0,2.0,1152.0,Residential,1920-01-29 04:39:27,134555,38.691161,-121.37191999999999
3100 Explorer Dr,Sacramento,95827,CA,3.0,2.0,1380.0,Residential,1901-09-10 05:05:36,136500,38.566663,-121.33264399999999
7944 Dominion Way,Elverta,95626,CA,3.0,2.0,1116.0,Residential,2007-06-28 10:41:49,138750,38.713182,-121.411227
5201 Laguna Oaks Dr Unit 162,Elk Grove,95758,CA,2.0,2.0,1039.0,Condo,1995-02-14 02:55:54,141000,38.423251,-121.44448899999999
3920 Shining Star Dr,Sacramento,95823,CA,3.0,2.0,1418.0,Residential,2019-05-27 07:28:26,146250,38.48742,-121.46245900000001
5031 Corvair St,North Highlands,95660,CA,3.0,2.0,1082.0,Residential,1946-01-18 15:51:51,147308,38.658246000000005,-121.375469
7661 Nixos Way,Sacramento,95823,CA,4.0,2.0,1472.0,Residential,1922-02-25 05:00:45,148750,38.479553,-121.46331699999999
7044 Carthy Way,Sacramento,95828,CA,4.0,2.0,1146.0,Residential,1940-05-29 01:05:28,149593,38.49857,-121.420925
2442 Larkspur Ln,Sacramento,95825,CA,1.0,1.0,760.0,Condo,1931-10-22 14:29:12,150000,38.58514,-121.40373600000001
4800 Westlake Pkwy Unit 2109,Sacramento,95835,CA,2.0,2.0,1304.0,Condo,1922-07-20 07:12:41,152000,38.658812,-121.542345
2178 63Rd Ave,Sacramento,95822,CA,3.0,2.0,1207.0,Residential,1971-07-17 18:43:51,154000,38.493955,-121.48966000000001
8718 Elk Way,Elk Grove,95624,CA,3.0,2.0,1056.0,Residential,1964-12-06 07:32:56,156896,38.41653,-121.379653
5708 Ridgepoint Dr,Antelope,95843,CA,2.0,2.0,1043.0,Residential,1949-02-18 14:50:47,161250,38.72027,-121.33155500000001
7315 Koala Ct,North Highlands,95660,CA,4.0,2.0,1587.0,Residential,2013-03-02 02:02:12,161500,38.699251000000004,-121.37141399999999
2622 Erin Dr,Sacramento,95833,CA,4.0,1.0,1120.0,Residential,2013-02-08 04:13:43,164000,38.613765,-121.488694
8421 Sunblaze Way,Sacramento,95823,CA,4.0,2.0,1580.0,Residential,1938-08-04 17:02:57,165000,38.450542999999996,-121.432538
7420 Alix Pkwy,Sacramento,95823,CA,4.0,1.0,1955.0,Residential,1988-11-24 08:30:25,166357,38.489405,-121.45281100000001
3820 Natoma Way,Sacramento,95838,CA,4.0,2.0,1656.0,Residential,1969-09-19 03:02:11,166357,38.636748,-121.42215900000001
4431 Green Tree Dr,Sacramento,95823,CA,3.0,2.0,1477.0,Residential,1972-08-09 17:57:46,168000,38.499953999999995,-121.45446899999999
9417 Sara St,Elk Grove,95624,CA,3.0,2.0,1188.0,Residential,1913-11-26 14:12:17,170000,38.415518,-121.370527
8299 Halbrite Way,Sacramento,95828,CA,4.0,2.0,1590.0,Residential,1906-07-31 16:32:30,173000,38.473814000000004,-121.4
7223 Kallie Kay Ln,Sacramento,95823,CA,3.0,2.0,1463.0,Residential,1907-06-29 13:50:01,174250,38.477553,-121.419463
8156 Steinbeck Way,Sacramento,95828,CA,4.0,2.0,1714.0,Residential,1972-08-28 12:41:26,174313,38.474853,-121.406326
7957 Valley Green Dr,Sacramento,95823,CA,3.0,2.0,1185.0,Residential,1975-09-24 22:12:57,178480,38.465184,-121.434925
1122 Wild Poppy Ct,Galt,95632,CA,3.0,2.0,1406.0,Residential,1903-12-24 19:47:49,178760,38.287789000000004,-121.294715
4520 Bomark Way,Sacramento,95842,CA,4.0,2.0,1943.0,Multi-Family,1923-09-30 03:05:24,179580,38.665724,-121.358576
9012 Kiefer Blvd,Sacramento,95826,CA,3.0,2.0,1172.0,Residential,1933-06-13 11:39:16,181000,38.547011,-121.36621699999999
5332 Sandstone St,Carmichael,95608,CA,3.0,1.0,1152.0,Residential,1974-07-24 23:24:47,181872,38.662105,-121.31394499999999
5993 Sawyer Cir,Sacramento,95823,CA,4.0,3.0,1851.0,Residential,1970-10-22 11:24:31,182587,38.4473,-121.43521799999999
4844 Clydebank Way,Antelope,95843,CA,3.0,2.0,1215.0,Residential,1957-01-18 05:03:56,182716,38.714609,-121.34788700000001
306 Camellia Way,Galt,95632,CA,3.0,2.0,1130.0,Residential,1916-05-27 03:40:40,182750,38.260443,-121.29786399999999
9021 Madison Ave,Orangevale,95662,CA,4.0,2.0,1603.0,Residential,1926-02-27 00:14:42,183200,38.664186,-121.21751100000002
404 6Th St,Galt,95632,CA,3.0,1.0,1479.0,Residential,1985-03-02 08:25:27,188741,38.251808000000004,-121.302493
8317 Sunny Creek Way,Sacramento,95823,CA,3.0,2.0,1420.0,Residential,1915-03-17 01:49:40,189000,38.459041,-121.424644
2617 Bass Ct,Sacramento,95826,CA,3.0,2.0,1280.0,Residential,1993-11-05 17:30:54,192067,38.560767,-121.377471
7005 Tiant Way,Elk Grove,95758,CA,3.0,2.0,1586.0,Residential,1911-11-05 06:37:27,194000,38.422810999999996,-121.423285
7895 Caber Way,Antelope,95843,CA,3.0,2.0,1362.0,Residential,2010-01-08 11:21:50,194818,38.711279,-121.393449
7624 Bogey Ct,Sacramento,95828,CA,4.0,4.0,2162.0,Multi-Family,2002-09-29 22:46:40,195000,38.480090000000004,-121.415102
6930 Hampton Cove Way,Sacramento,95823,CA,3.0,2.0,1266.0,Residential,1999-05-22 19:42:16,198000,38.44004,-121.421012
8708 Mesa Brook Way,Elk Grove,95624,CA,4.0,2.0,1715.0,Residential,1932-11-28 22:41:08,199500,38.44076,-121.385792
120 Grant Ln,Folsom,95630,CA,3.0,2.0,1820.0,Residential,1936-09-15 15:54:55,200000,38.687742,-121.17103999999999
5907 Ellerslee Dr,Carmichael,95608,CA,3.0,1.0,936.0,Residential,1901-06-26 06:07:10,200000,38.664468,-121.32683
17 Seraspi Ct,Sacramento,95834,CA,0.0,0.0,0.0,Residential,1908-10-31 04:33:25,206000,38.631481,-121.50188
170 Penhow Cir,Sacramento,95834,CA,3.0,2.0,1511.0,Residential,1987-03-25 14:10:16,208000,38.653439,-121.535169
8345 Star Thistle Way,Sacramento,95823,CA,4.0,2.0,1590.0,Residential,1939-09-13 09:05:54,212864,38.454349,-121.43923899999999
9080 Fresca Way,Elk Grove,95758,CA,4.0,2.0,1596.0,Residential,1930-05-01 00:31:07,221000,38.427818,-121.424026
391 Natalino Cir,Sacramento,95835,CA,2.0,2.0,1341.0,Residential,1976-06-04 15:13:29,221000,38.67307,-121.506373
8373 Blackman Way,Elk Grove,95624,CA,5.0,3.0,2136.0,Residential,1931-05-27 16:03:07,223058,38.435435999999996,-121.39453600000002
9837 Corte Dorado Ct,Elk Grove,95624,CA,4.0,2.0,1616.0,Residential,2005-05-25 14:28:54,227887,38.400676000000004,-121.38101
5037 J Pkwy,Sacramento,95823,CA,3.0,2.0,1478.0,Residential,2015-03-08 04:29:58,231477,38.491399,-121.443547
10245 Los Palos Dr,Rancho Cordova,95670,CA,3.0,2.0,1287.0,Residential,1984-02-28 16:57:14,234697,38.593699,-121.31088999999999
6613 Navion Dr,Citrus Heights,95621,CA,4.0,2.0,1277.0,Residential,1997-01-17 20:01:30,235000,38.702855,-121.31308
